maturity_years,Mar26_fiscal,latest_10wd,spot_2sep
0.5,3.529,4.027,4.084
1.0,3.554,4.163,4.261
1.5,3.588,4.243,4.356
2.0,3.622,4.301,4.422
2.5,3.665,4.349,4.474
3.0,3.715,4.395,4.521
3.5,3.77,4.439,4.566
4.0,3.829,4.485,4.611
4.5,3.89,4.533,4.657
5.0,3.954,4.583,4.706
5.5,4.019,4.636,4.756
6.0,4.085,4.69,4.808
6.5,4.151,4.746,4.862
7.0,4.217,4.802,4.916
7.5,4.282,4.859,4.971
8.0,4.346,4.916,5.026
8.5,4.409,4.973,5.081
9.0,4.469,5.029,5.135
9.5,4.528,5.084,5.189
10.0,4.585,5.138,5.242
10.5,4.64,5.191,5.293
11.0,4.692,5.242,5.343
11.5,4.742,5.291,5.391
12.0,4.79,5.339,5.438
12.5,4.836,5.385,5.482
13.0,4.88,5.429,5.525
13.5,4.921,5.471,5.566
14.0,4.961,5.511,5.605
14.5,4.998,5.548,5.642
15.0,5.033,5.584,5.676
15.5,5.065,5.618,5.709
16.0,5.096,5.649,5.739
16.5,5.124,5.679,5.768
17.0,5.151,5.706,5.795
17.5,5.175,5.732,5.819
18.0,5.198,5.756,5.842
18.5,5.218,5.778,5.863
19.0,5.237,5.798,5.882
19.5,5.254,5.816,5.9
20.0,5.27,5.833,5.916
20.5,5.284,5.849,5.931
21.0,5.297,5.863,5.944
21.5,5.308,5.876,5.957
22.0,5.318,5.888,5.967
22.5,5.327,5.898,5.977
23.0,5.336,5.907,5.985
23.5,5.343,5.915,5.993
24.0,5.349,5.922,5.999
24.5,5.354,5.927,6.004
25.0,5.359,5.932,6.008
25.5,5.362,5.936,6.011
26.0,5.365,5.938,6.013
26.5,5.367,5.94,6.014
27.0,5.368,5.94,6.014
27.5,5.368,5.939,6.013
28.0,5.368,5.938,6.011
28.5,5.366,5.935,6.008
29.0,5.364,5.932,6.005
29.5,5.361,5.927,6.0
30.0,5.357,5.921,5.994
30.5,5.352,5.915,5.987
31.0,5.347,5.907,5.979
31.5,5.34,5.898,5.97
32.0,5.333,5.889,5.961
32.5,5.325,5.878,5.95
33.0,5.316,5.867,5.939
33.5,5.306,5.855,5.926
34.0,5.295,5.842,5.913
34.5,5.284,5.827,5.899
35.0,5.271,5.812,5.884
35.5,5.258,5.797,5.868
36.0,5.244,5.78,5.851
36.5,5.229,5.762,5.834
37.0,5.213,5.744,5.816
37.5,5.196,5.725,5.797
38.0,5.179,5.705,5.777
38.5,5.16,5.684,5.756
39.0,5.141,5.663,5.735
39.5,5.121,5.64,5.712
40.0,5.1,5.618,5.69
