event,published,window_close,source,days_before,proxy,y10,y30,d_proxy_exact,d10y_exact
June 2010,2010-06-22,2010-05-28,assumed,25,2.983,3.805,4.457,,
November 2010,2010-11-29,2010-11-22,EFO text,7,2.739,3.474,4.534,-0.244,-0.331
March 2011,2011-03-23,2011-03-04,EFO text,19,3.211,3.921,4.557,0.472,0.447
November 2011,2011-11-29,2011-11-21,EFO text,8,1.785,2.336,3.352,-1.427,-1.586
March 2012,2012-03-21,2012-02-27,EFO text,23,1.678,2.286,3.538,-0.106,-0.05
December 2012,2012-12-05,2012-11-23,EFO text,12,1.385,1.807,3.318,-0.293,-0.479
March 2013,2013-03-20,2013-02-25,EFO text,23,1.705,2.296,3.673,0.319,0.489
December 2013,2013-12-05,2013-11-22,EFO text,13,2.187,2.872,3.712,0.482,0.576
March 2014,2014-03-19,2014-02-27,EFO text,20,2.293,2.89,3.662,0.106,0.018
December 2014,2014-12-03,2014-11-21,EFO text,12,1.832,2.203,3.013,-0.461,-0.686
March 2015,2015-03-18,2015-02-26,EFO text,20,1.52,1.821,2.579,-0.312,-0.383
July 2015,2015-07-08,2015-06-25,EFO text,13,1.798,2.187,2.885,0.278,0.366
November 2015,2015-11-25,2015-10-29,EFO text,27,1.529,1.85,2.726,-0.269,-0.336
March 2016,2016-03-16,2016-02-25,EFO text,20,1.182,1.484,2.419,-0.347,-0.366
November 2016,2016-11-23,2016-10-31,EFO text,23,0.9,1.185,1.834,-0.282,-0.299
March 2017,2017-03-08,2017-02-16,EFO text,20,0.992,1.363,2.014,0.092,0.178
November 2017,2017-11-22,2017-10-31,EFO text,22,1.112,1.393,1.953,0.12,0.03
March 2018,2018-03-13,2018-02-16,EFO text,25,1.378,1.648,1.992,0.266,0.255
October 2018,2018-10-29,2018-10-04,EFO text,25,1.374,1.58,1.968,-0.005,-0.068
March 2019,2019-03-13,2019-02-15,assumed,26,1.075,1.218,1.736,-0.298,-0.363
March 2020,2020-03-11,2020-02-18,assumed,22,0.592,0.612,1.12,-0.484,-0.606
July 2020 (FSR+SEU),2020-07-14,2020-06-26,assumed,18,0.147,0.216,0.664,-0.445,-0.395
November 2020,2020-11-25,2020-10-23,assumed,33,0.165,0.266,0.825,0.018,0.049
March 2021,2021-03-03,2021-02-05,assumed,26,0.255,0.386,0.947,0.09,0.12
October 2021,2021-10-27,2021-09-15,EFO text,42,0.551,0.723,1.069,0.296,0.337
March 2022,2022-03-23,2022-03-02,assumed,21,1.309,1.4,1.511,0.757,0.677
November 2022,2022-11-17,2022-10-27,assumed,21,3.857,3.923,3.909,2.549,2.522
March 2023,2023-03-15,2023-02-15,assumed,28,3.346,3.384,3.73,-0.511,-0.539
November 2023,2023-11-22,2023-10-25,assumed,28,4.542,4.542,4.963,1.196,1.159
March 2024,2024-03-06,2024-02-07,assumed,28,3.948,3.955,4.56,-0.595,-0.587
October 2024,2024-10-30,2024-09-12,press via review (verify),48,3.837,3.813,4.476,-0.11,-0.142
March 2025,2025-03-26,2025-02-20,assumed,34,4.384,4.54,5.146,0.546,0.726
November 2025,2025-11-26,2025-10-21,EFO text,36,4.381,4.656,5.546,-0.003,0.117
March 2026,2026-03-03,2026-01-30,EFO text,32,4.307,4.585,5.357,-0.074,-0.071
