event,cf,months,pscr_news,tme_news,underlying_y3,und_receipts_y3,und_noninterest_y3,und_debt_interest_y3
March 2012,2011-12,11,-2.085845171143881,-11.776737207131067,-1.7,0.7,0.5,-2.9
December 2012,2012-13,8,-12.134536032509466,34.85617391804839,30.06,30.1,3.66,-3.7
March 2013,2012-13,11,-13.125860860561076,31.85748086969234,13.77,11.05,1.56,1.17
December 2013,2013-14,8,-0.4060342232955458,-46.657059093173835,-13.3,-11.6,-2.6,0.9
December 2014,2014-15,7,-9.709981628249677,7.525318865627146,6.88,22.75,-0.16,-15.7
March 2015,2014-15,11,2.320217875267813,3.5947022417390255,-7.42,6.6,-6.42,-7.6
July 2015,2015-16,3,9.172472571747473,9.685901490717493,5.3,-2.3,5.11,2.49
November 2015,2015-16,7,-1.8695608048630403,4.789512103116418,-8.0,-5.4,2.35,-5.0
March 2016,2015-16,11,-4.118688272687376,0.6583478823373305,12.33,13.97,3.16,-4.79
November 2016,2016-17,7,-1.0989314309944926,0.4440717462690878,17.67,15.19,6.94,-4.45
March 2017,2016-17,10,5.405914227892889,-4.623995031342578,-1.35,-1.55,-0.7,0.9
November 2017,2017-18,7,8.845428699116386,-1.0222534082647878,13.66,12.98,1.38,-0.7
March 2018,2017-18,10,8.650153825801763,4.103237470331359,-3.72,-6.85,0.78,2.35
October 2018,2018-19,6,2.4664354480901767,-9.355913213162124,-14.72,-11.21,-1.82,-1.7
March 2026,2025-26,10,0.5769049261261565,-9.918067071093533,-4.64,-7.35,5.03,-2.32
