event,current_fy,year3,policy_effect_on_psnb_y3_bn,policy_effect_on_current_budget_deficit_y3_bn,policy_effect_capital_y3_bn,policy_effect_on_psnb_y4_bn
Budget 2010 #2,2010-11,2013-14,-30.52,-28.4,-2.12,-37.16
Autumn 2010,2010-11,2013-14,-1.7,-3.28,1.57,-1.5
Budget 2011,2010-11,2013-14,-0.02,-0.02,-0.0,0.12
Autumn 2011,2011-12,2014-15,-0.23,-1.88,1.64,-8.31
Budget 2012,2011-12,2014-15,-1.99,-1.52,-0.47,-0.09
Autumn 2012,2012-13,2015-16,-1.92,-1.96,0.04,-3.22
Budget 2013,2012-13,2015-16,3.31,0.22,3.08,0.03
Autumn 2013,2013-14,2016-17,0.4,0.4,-0.0,0.58
Budget 2014,2013-14,2016-17,-0.24,-0.38,0.14,-0.66
Autumn 2014,2014-15,2017-18,-0.4,-0.57,0.17,-0.46
Budget 2015,2014-15,2017-18,0.1,0.02,0.08,1.19
Budget 2015 #2,2015-16,2018-19,10.8,11.68,-0.88,-8.15
Autumn 2015,2015-16,2018-19,5.15,4.97,0.18,2.33
Budget 2016,2015-16,2018-19,4.77,4.22,0.56,-13.82
Autumn 2016,2016-17,2019-20,8.05,2.4,5.65,8.91
Budget 2017,2016-17,2019-20,1.82,0.33,1.49,-0.76
Autumn Budget 2017,2017-18,2020-21,4.4,0.74,3.66,1.79
Spring Statement 2018,2017-18,2020-21,-0.14,0.02,-0.16,0.16
Budget 2018,2018-19,2021-22,17.65,18.44,-0.8,23.14
Spring Statement 2019,2018-19,2021-22,1.57,2.17,-0.59,2.06
Budget 2020,2019-20,2022-23,32.18,17.82,14.36,33.77
Spending Review 2020,2020-21,2023-24,-15.24,-14.9,-0.34,-16.04
Spring Budget 2021,2020-21,2023-24,-15.1,-15.06,-0.05,-27.45
Autumn Budget 2021,2021-22,2024-25,8.4,9.65,-1.25,5.96
Spring Statement 2022,2021-22,2024-25,3.6,7.73,-4.13,2.93
Autumn Statement 2022,2022-23,2025-26,-14.87,-9.97,-4.91,-26.53
Spring Budget 2023,2022-23,2025-26,20.95,18.75,2.2,14.42
Autumn Statement 2023,2023-24,2026-27,23.07,22.96,0.11,26.12
Spring Budget 2024,2023-24,2026-27,7.68,6.57,1.11,6.34
Autumn Budget 2024,2024-25,2027-28,33.42,7.54,25.88,35.73
Spring Statement 2025,2024-25,2027-28,0.58,-3.0,3.59,-2.64
Autumn Budget 2025,2025-26,2028-29,-3.35,-7.35,4.0,-16.94
Spring Forecast 2026,2025-26,2028-29,5.5,5.4,0.11,5.4
