date,gilt,bund,ust
2024-01-02,3.6775789912965395,2.13,3.95
2024-01-03,3.7113626775201354,2.1,3.91
2024-01-04,3.747406800551545,2.1,3.99
2024-01-05,3.7868557254814674,2.19,4.05
2024-01-08,3.807817689099867,2.2,4.01
2024-01-09,3.8168849260282514,2.22,4.02
2024-01-10,3.8374062379077536,2.2,4.04
2024-01-11,3.8790979597342705,2.22,3.98
2024-01-12,3.8448416391893674,2.19,3.96
2024-01-16,3.8556450476897566,2.24,4.07
2024-01-17,4.009464467227739,2.27,4.1
2024-01-18,3.977540195006187,2.32,4.14
2024-01-19,3.961278597115487,2.33,4.15
2024-01-22,3.9276822737091406,2.3,4.11
2024-01-23,4.0145013441396555,2.32,4.14
2024-01-24,4.038680932578365,2.33,4.18
2024-01-25,4.011460861460934,2.38,4.14
2024-01-26,4.016913345615037,2.27,4.15
2024-01-29,3.9479747330423898,2.25,4.08
2024-01-30,3.9554598590299612,2.25,4.06
2024-01-31,3.842683173703975,2.23,3.99
2024-02-01,3.782769887191197,2.22,3.87
2024-02-02,3.951382746021944,2.19,4.03
2024-02-05,4.068133458461241,2.3,4.17
2024-02-06,3.9770304683110247,2.34,4.09
2024-02-07,3.9956824697775937,2.3,4.09
2024-02-08,4.07087715925296,2.32,4.15
2024-02-09,4.111369120337436,2.37,4.17
2024-02-12,4.094110946589703,2.37,4.17
2024-02-13,4.1564585150672215,2.38,4.31
2024-02-14,4.080469971721365,2.38,4.27
2024-02-15,4.071507989863671,2.33,4.24
2024-02-16,4.12697897935163,2.4,4.3
2024-02-20,4.075054319353495,2.4,4.27
2024-02-21,4.110436774305739,2.41,4.32
2024-02-22,4.109167684455302,2.46,4.33
2024-02-23,4.071386433350407,2.48,4.26
2024-02-26,4.0935469074319535,2.38,4.28
2024-02-27,4.1329043449441105,2.43,4.31
2024-02-28,4.135566955090634,2.46,4.27
2024-02-29,4.073469223234289,2.51,4.25
2024-03-01,4.052548934536207,2.42,4.19
2024-03-04,4.082763333716257,2.4,4.22
2024-03-05,3.9553255018409708,2.39,4.13
2024-03-06,3.958527863785527,2.37,4.11
2024-03-07,3.9555340691319336,2.33,4.09
2024-03-08,3.9338576985435667,2.28,4.09
2024-03-11,3.923296335036374,2.28,4.1
2024-03-12,3.9009307655923804,2.31,4.16
2024-03-13,3.9656814507267617,2.33,4.19
2024-03-14,4.0387591738297415,2.39,4.29
2024-03-15,4.0523486500010755,2.46,4.31
2024-03-18,4.041534031258223,2.48,4.34
2024-03-19,4.007712904712745,2.46,4.3
2024-03-20,3.9721833141689253,2.44,4.27
2024-03-21,3.950910156972669,2.41,4.27
2024-03-22,3.8990705472021716,2.39,4.22
2024-03-25,3.9538206109809684,2.36,4.25
2024-03-26,3.9338025077208485,2.36,4.24
2024-03-27,3.9077577834038784,2.35,4.2
2024-03-28,3.8916546165480552,2.33,4.2
2024-04-02,4.049402642781604,2.37,4.36
2024-04-03,4.039207400790687,2.41,4.36
2024-04-04,3.9754842171933973,2.39,4.31
2024-04-05,4.03939014090769,2.37,4.39
2024-04-08,4.055272513968234,2.46,4.42
2024-04-09,3.991168471927987,2.42,4.36
2024-04-10,4.093445149744047,2.37,4.55
2024-04-11,4.17693257086094,2.48,4.56
2024-04-12,4.0902351702268325,2.4,4.5
2024-04-15,4.203386235023961,2.41,4.63
2024-04-16,4.257780935385193,2.47,4.67
2024-04-17,4.235098943661724,2.5,4.59
2024-04-18,4.216414749883673,2.46,4.64
2024-04-19,4.210831358847253,2.48,4.62
2024-04-22,4.1683866271260985,2.55,4.62
2024-04-23,4.214929730053935,2.5,4.61
2024-04-24,4.292328668414767,2.56,4.65
2024-04-25,4.317525291052308,2.59,4.7
2024-04-26,4.279413469034588,2.62,4.67
2024-04-29,4.242257030172689,2.54,4.63
2024-04-30,4.315960554840627,2.56,4.69
2024-05-02,4.258659823262813,2.56,4.58
2024-05-03,4.197550670787214,2.55,4.5
2024-05-07,4.089344875915163,2.46,4.47
2024-05-08,4.092923416715785,2.45,4.48
2024-05-09,4.105298827539917,2.52,4.45
2024-05-10,4.12612284891664,2.48,4.5
2024-05-13,4.12534937965336,2.53,4.48
2024-05-14,4.126014301813365,2.52,4.45
2024-05-15,4.023247634300387,2.5,4.36
2024-05-16,4.01837665723118,2.45,4.38
2024-05-17,4.088642798908349,2.5,4.42
2024-05-20,4.132648114206961,2.54,4.44
2024-05-21,4.109049059407543,2.53,4.41
2024-05-22,4.189288315549496,2.55,4.43
2024-05-23,4.219033373007517,2.56,4.47
2024-05-24,4.213735296545208,2.59,4.46
2024-05-28,4.229447136753434,2.57,4.54
2024-05-29,4.347555316292373,2.63,4.61
2024-05-30,4.325252645454835,2.69,4.55
2024-05-31,4.26925030220779,2.71,4.51
2024-06-03,4.195000083506431,2.66,4.41
2024-06-04,4.144197855871342,2.58,4.33
2024-06-05,4.145461457462685,2.56,4.29
2024-06-06,4.13584621455551,2.55,4.28
2024-06-07,4.221589125974046,2.59,4.43
2024-06-10,4.286970359031315,2.65,4.47
2024-06-11,4.2327252625905505,2.67,4.39
2024-06-12,4.104393195799632,2.61,4.31
2024-06-13,4.11802642954151,2.56,4.24
2024-06-14,4.018583879987101,2.41,4.2
2024-06-17,4.076459801956783,2.42,4.28
2024-06-18,4.0313832063485275,2.43,4.22
2024-06-20,4.035125676331806,2.45,4.25
2024-06-21,4.053764654879172,2.39,4.25
2024-06-24,4.0571163061545565,2.43,4.25
2024-06-25,4.043868034659551,2.44,4.23
2024-06-26,4.110588147363253,2.46,4.32
2024-06-27,4.105397741120138,2.49,4.29
2024-06-28,4.153406513174174,2.49,4.36
2024-07-01,4.251024478063028,2.6,4.48
2024-07-02,4.224859646920241,2.62,4.43
2024-07-03,4.137677671230481,2.62,4.36
2024-07-05,4.103703867412763,2.59,4.28
2024-07-08,4.086565888539832,2.57,4.28
2024-07-09,4.142949512794744,2.56,4.3
2024-07-10,4.110624364283224,2.54,4.28
2024-07-11,4.055096300499685,2.55,4.2
2024-07-12,4.093617796982167,2.52,4.18
2024-07-15,4.080092881148705,2.48,4.23
2024-07-16,4.052799505260436,2.45,4.17
2024-07-17,4.057727461440132,2.42,4.16
2024-07-18,4.024267361166747,2.45,4.2
2024-07-19,4.102529358444853,2.43,4.25
2024-07-22,4.117259404117954,2.49,4.26
2024-07-23,4.116181960894851,2.47,4.25
2024-07-24,4.130200031033233,2.43,4.28
2024-07-25,4.1110089044279245,2.42,4.27
2024-07-26,4.084942569475037,2.45,4.2
2024-07-29,4.031726915379805,2.36,4.17
2024-07-30,4.026838984946421,2.37,4.15
2024-07-31,3.972066073372949,2.34,4.09
2024-08-01,3.8610250971870377,2.3,3.99
2024-08-02,3.836411174892689,2.23,3.8
2024-08-05,3.8450792984573425,2.14,3.78
2024-08-06,3.900000479712736,2.18,3.9
2024-08-07,3.9515334806846196,2.29,3.96
2024-08-08,3.9570532271490686,2.24,3.99
2024-08-09,3.929322600841482,2.26,3.94
2024-08-12,3.9252499248260597,2.25,3.9
2024-08-13,3.8686050073895,2.25,3.85
2024-08-14,3.8112102098595373,2.23,3.83
2024-08-15,3.9111433775875617,2.22,3.92
2024-08-16,3.909456601350706,2.26,3.89
2024-08-19,3.9267168827640675,2.24,3.86
2024-08-20,3.8990835889436903,2.26,3.82
2024-08-21,3.8863424162812783,2.24,3.79
2024-08-22,3.947786206203383,2.25,3.86
2024-08-23,3.896394583943811,2.28,3.81
2024-08-27,3.963211286928766,2.29,3.83
2024-08-28,3.969293994822943,2.28,3.84
2024-08-29,3.9903283011846336,2.26,3.87
2024-08-30,3.97100689476979,2.28,3.91
2024-09-03,3.9499903425285234,2.35,3.84
2024-09-04,3.897518489573847,2.27,3.77
2024-09-05,3.891648972412065,2.25,3.73
2024-09-06,3.8569792073966753,2.19,3.72
2024-09-09,3.8396150904143957,2.26,3.7
2024-09-10,3.80993614599671,2.19,3.65
2024-09-11,3.724518783963487,2.14,3.65
2024-09-12,3.7585133100287047,2.16,3.68
2024-09-13,3.749880187450068,2.16,3.66
2024-09-16,3.734357262003286,2.18,3.63
2024-09-17,3.748730728286899,2.13,3.65
2024-09-18,3.825351272370951,2.2,3.7
2024-09-19,3.866843139762237,2.23,3.73
2024-09-20,3.894336160002903,2.2,3.73
2024-09-23,3.914910085778028,2.19,3.75
2024-09-24,3.914573114422835,2.22,3.74
2024-09-25,3.9710023571975315,2.18,3.79
2024-09-26,3.967479762167246,2.17,3.79
2024-09-27,3.9752319055960776,2.16,3.75
2024-09-30,3.9914675950901937,2.2,3.81
2024-10-01,3.9204899765835237,2.1,3.74
2024-10-02,4.022782542804929,2.12,3.79
2024-10-03,3.9959055076000327,2.17,3.85
2024-10-04,4.112384422174613,2.2,3.98
2024-10-07,4.183817759670023,2.29,4.03
2024-10-08,4.17460958966737,2.29,4.04
2024-10-09,4.164357134184993,2.27,4.06
2024-10-10,4.210815723115686,2.31,4.09
2024-10-11,4.200436870772439,2.32,4.08
2024-10-15,4.145865856170509,2.26,4.03
2024-10-16,4.0432876072911395,2.23,4.02
2024-10-17,4.089690834673538,2.25,4.09
2024-10-18,4.050947617397806,2.24,4.08
2024-10-21,4.1116146066141654,2.27,4.19
2024-10-22,4.146401132770225,2.35,4.2
2024-10-23,4.20264369413811,2.35,4.24
2024-10-24,4.202249560280417,2.31,4.21
2024-10-25,4.1985567662771635,2.31,4.25
2024-10-28,4.23651866251227,2.32,4.28
2024-10-29,4.2856013608156385,2.35,4.28
2024-10-30,4.327070551692119,2.34,4.29
2024-10-31,4.409609318061359,2.44,4.28
2024-11-01,4.425887545539508,2.44,4.37
2024-11-04,4.416300604284019,2.46,4.31
2024-11-05,4.488309740594862,2.44,4.26
2024-11-06,4.536398861719611,2.42,4.42
2024-11-07,4.4680853016991975,2.5,4.31
2024-11-08,4.40521970401724,2.4,4.3
2024-11-12,4.445859329462462,2.33,4.43
2024-11-13,4.487148586845241,2.39,4.44
2024-11-14,4.471233034206866,2.41,4.43
2024-11-15,4.454532173484571,2.35,4.43
2024-11-18,4.453672967775521,2.41,4.42
2024-11-19,4.413939648546381,2.32,4.39
2024-11-20,4.456504521215331,2.38,4.41
2024-11-21,4.413231991386125,2.34,4.43
2024-11-22,4.373541446838784,2.26,4.41
2024-11-25,4.310773522501666,2.27,4.27
2024-11-26,4.336586918552865,2.23,4.3
2024-11-27,4.2854443152463,2.17,4.25
2024-11-29,4.233265400837236,2.14,4.18
2024-12-02,4.208583668977857,2.08,4.19
2024-12-03,4.224620999474604,2.09,4.23
2024-12-04,4.224274825719371,2.11,4.19
2024-12-05,4.256130542840252,2.1,4.17
2024-12-06,4.2633299886245615,2.15,4.15
2024-12-09,4.25296213315051,2.14,4.2
2024-12-10,4.302663410979397,2.15,4.22
2024-12-11,4.30027697742148,2.15,4.26
2024-12-12,4.326543144399631,2.19,4.32
2024-12-13,4.391324479644903,2.26,4.4
2024-12-16,4.423208191174448,2.27,4.39
2024-12-17,4.499868066344264,2.26,4.4
2024-12-18,4.537166175391155,2.27,4.5
2024-12-19,4.577345746514405,2.3,4.57
2024-12-20,4.5180566580012,2.32,4.52
2024-12-23,4.556898570308792,2.33,4.59
2024-12-27,4.62350315811287,2.41,4.62
2024-12-30,4.595881985733415,2.41,4.55
2025-01-02,4.577716196580962,2.38,4.57
2025-01-03,4.587559448001253,2.4,4.6
2025-01-06,4.615576129419549,2.47,4.62
2025-01-07,4.6744710623780765,2.48,4.67
2025-01-08,4.795131961387629,2.51,4.67
2025-01-09,4.798467195183955,2.56,4.68
