event,current_fy,year3,total_y3,policy_y3,classifications_y3,underlying_y3,und_receipts_y3,und_debt_interest_y3,und_noninterest_y3,underlying_y4,d10y_35day,d30y_35day,d_ois2y_35day,d_gilt_proxy_stated_windows,window_source
November 2010,2010-11,2013-14,0.1,-1.7,0.0,1.8,3.4,-4.3,2.7,-0.9,-0.87,-0.28,-0.31,-0.24,EFO text
March 2011,2010-11,2013-14,9.6,0.74,0.0,8.86,-1.45,3.1,7.21,10.67,0.91,0.37,0.75,0.47,EFO text
November 2011,2011-12,2014-15,32.74,-1.5,1.0,33.24,39.1,-6.2,0.35,34.36,-1.41,-1.05,-0.88,-1.43,EFO text
March 2012,2011-12,2014-15,-3.89,-2.2,0.0,-1.7,0.7,-2.9,0.5,2.3,-0.35,-0.13,-0.04,-0.11,EFO text
December 2012,2012-13,2015-16,21.3,0.07,-8.83,30.06,30.1,-3.7,3.66,39.35,-0.42,-0.1,-0.15,-0.29,EFO text
March 2013,2012-13,2015-16,13.8,0.03,0.0,13.77,11.05,1.17,1.56,18.07,0.33,0.22,0.03,0.32,EFO text
December 2013,2013-14,2016-17,-12.94,0.3,0.0,-13.3,-11.6,0.9,-2.6,-13.0,0.5,0.01,0.15,0.48,EFO text
March 2014,2013-14,2016-17,-6.32,-1.8,0.0,-4.5,-4.4,-0.2,0.1,-5.9,0.14,0.06,0.14,0.11,EFO text
December 2014,2014-15,2017-18,-3.3,-8.18,-2.0,6.88,22.75,-15.7,-0.16,5.95,-0.61,-0.62,0.12,-0.46,EFO text
March 2015,2014-15,2017-18,-1.8,4.32,1.3,-7.42,6.6,-7.6,-6.42,-10.11,-0.67,-0.73,-0.16,-0.31,EFO text
July 2015,2015-16,2018-19,11.6,6.3,0.0,5.3,-2.3,2.49,5.11,7.4,0.45,0.4,0.08,0.28,EFO text
November 2015,2015-16,2018-19,-1.8,4.4,1.8,-8.0,-5.4,-5.0,2.35,-3.8,-0.19,0.0,-0.07,-0.27,EFO text
March 2016,2015-16,2018-19,16.82,4.48,0.0,12.33,13.97,-4.79,3.16,13.39,-0.24,-0.28,-0.19,-0.35,EFO text
November 2016,2016-17,2019-20,32.39,8.36,6.36,17.67,15.19,-4.45,6.94,18.07,-0.52,-0.65,-0.25,-0.28,EFO text
March 2017,2016-17,2019-20,-0.58,1.7,-0.93,-1.35,-1.55,0.9,-0.7,0.07,0.43,0.31,0.17,0.09,EFO text
November 2017,2017-18,2020-21,12.18,3.59,-5.07,13.66,12.98,-0.7,1.38,17.59,-0.1,-0.12,0.29,0.12,EFO text
March 2018,2017-18,2020-21,-4.03,-0.32,0.0,-3.72,-6.85,2.35,0.78,-4.06,0.15,-0.03,0.14,0.27,EFO text
October 2018,2018-19,2021-22,-2.18,13.71,-1.16,-14.72,-11.21,-1.7,-1.82,-18.11,-0.01,-0.01,0.13,-0.0,EFO text
March 2019,2018-19,2021-22,-6.18,1.2,0.0,-7.38,-3.75,-4.03,0.4,-8.17,-0.25,-0.15,-0.07,-0.3,assumed
March 2020,2019-20,2022-23,26.04,22.47,0.0,3.58,4.13,-7.66,7.11,1.54,-0.73,-0.7,-0.37,-0.48,assumed
July 2020 (FSR+SEU),2020-21,2023-24,63.1,1.4,0.0,61.7,66.39,-8.12,3.43,57.14,-0.29,-0.37,-0.46,-0.44,assumed
November 2020,2020-21,2023-24,-22.93,-15.13,0.0,-7.79,-9.07,-3.98,5.26,-0.58,-0.01,0.12,-0.06,0.02,assumed
March 2021,2020-21,2023-24,-15.05,-19.1,0.0,4.04,-2.47,1.63,4.88,6.34,0.07,0.08,0.0,0.09,assumed
October 2021,2021-22,2024-25,-28.12,5.43,0.0,-33.55,-46.26,3.12,9.59,-32.7,0.43,0.2,0.36,0.3,EFO text
March 2022,2021-22,2024-25,-9.8,4.33,0.0,-14.13,-36.92,9.78,13.0,-15.44,0.72,0.45,1.3,0.76,assumed
November 2022,2022-23,2025-26,42.09,-13.66,0.0,55.75,17.42,26.96,11.38,74.85,2.75,2.68,3.49,2.55,assumed
March 2023,2022-23,2025-26,-0.23,19.04,0.0,-19.27,-25.1,-1.88,7.7,-29.4,-0.9,-0.56,-1.17,-0.51,assumed
November 2023,2023-24,2026-27,4.95,22.15,0.0,-17.2,-50.58,17.45,15.92,-26.8,1.13,1.25,1.11,1.2,assumed
March 2024,2023-24,2026-27,0.26,6.43,0.0,-6.17,10.35,-13.83,-2.69,-3.62,-0.5,-0.34,-0.73,-0.59,assumed
October 2024,2024-25,2027-28,21.61,31.42,0.0,-9.81,-15.49,1.36,4.31,-5.16,-0.13,-0.08,-0.48,-0.11,press via review (verify)
March 2025,2024-25,2027-28,8.0,-2.31,0.0,10.31,1.77,5.02,3.51,11.59,0.69,0.63,0.17,0.55,assumed
November 2025,2025-26,2028-29,9.51,2.88,0.0,6.64,-15.05,3.46,20.52,3.34,0.1,0.39,-0.37,-0.0,EFO text
March 2026,2025-26,2028-29,-0.92,3.72,0.0,-4.64,-7.35,-2.32,5.03,-10.16,-0.09,-0.21,-0.16,-0.07,EFO text
